config,rep,steps,avg_step_ns
gravity,0,8000,490.2
+drag,0,8000,1489.56
+spin,0,8000,1846.72
+coriolis,0,8000,1078.55
+spin,1,8000,2307.89
+coriolis,1,8000,1167.02
+drag,1,8000,982.222
gravity,1,8000,309.459
gravity,2,8000,298.43
+spin,2,8000,1863.06
+coriolis,2,8000,1090.98
+drag,2,8000,771.091
+spin,3,8000,2753.65
+drag,3,8000,931.515
+coriolis,3,8000,1588.02
gravity,3,8000,300.713
+spin,4,8000,2196.54
+coriolis,4,8000,1346.24
gravity,4,8000,288.105
+drag,4,8000,810.652
+spin,5,8000,1828.84
+coriolis,5,8000,1135.9
gravity,5,8000,310.799
+drag,5,8000,778.419
+spin,6,8000,1834.97
+drag,6,8000,776.003
+coriolis,6,8000,1391.11
gravity,6,8000,433.132
+spin,7,8000,2143.13
+drag,7,8000,949.187
+coriolis,7,8000,1075.56
gravity,7,8000,304.806
gravity,8,8000,300.305
+coriolis,8,8000,1252.37
+drag,8,8000,760.484
+spin,8,8000,2083.61